"symbol","exchange","shortname"
"AI","NYQ","C3.ai, Inc."
"BA","NYQ","Boeing Company (The)"
"AAL","NMS","American Airlines Group, Inc."
"MA","NYQ","Mastercard Incorporated"
"AA","NYQ","Alcoa Corporation"
"HAFC","NMS",NULL
"RINO","OEM",NULL
"AG","NYQ","First Majestic Silver Corp."
"APA","NMS","APA Corporation"
"AR","NYQ","Antero Resources Corporation"
"PAA","NMS","Plains All American Pipeline, L"
"XDAP","BTS","Innovator U.S. Equity Accelerat"
"EA","NMS","Electronic Arts Inc."
"AM","NYQ","Antero Midstream Corporation"
"AAP","NYQ","Advance Auto Parts Inc."
"AU","NYQ","AngloGold Ashanti PLC"
"UA","NYQ","Under Armour, Inc."
"AB","NYQ","AllianceBernstein Holding L.P."
"AN","NYQ","AutoNation, Inc."
"UAA","NYQ","Under Armour, Inc."
"A","NYQ","Agilent Technologies, Inc."
"RA","NYQ","Brookfield Real Assets Income F"
"SA","NYQ","Seabridge Gold, Inc."
"AL","NYQ","Air Lease Corporation"
"MAA","NYQ","Mid-America Apartment Communiti"
"ACA","NYQ","Arcosa, Inc."
"AIR","NYQ","AAR Corp."
"DEUR","PCX",NULL
"AX","NYQ","Axos Financial, Inc."
"AP","NYQ","Ampco-Pittsburgh Corporation"
"AOA","PCX","iShares Core 80/20 Aggressive A"
"AACAY","PNK","AAC Technologies Holdings Inc"
"AVA","NYQ","Avista Corporation"
"SACC","ASE","Sachem Capital Corp. 6.875% Not"
"SNRG","OQB",NULL
"HYD","BTS",NULL
"AAON","NMS","AAON, Inc."
"AC","NYQ","Associated Capital Group, Inc."
"ASA","NYQ","ASA  Gold and Precious Metals L"
"AAT","NYQ","American Assets Trust, Inc."
"AIA","NGM","iShares Asia 50 ETF"
"MSTO","OEM",NULL
"FPOCF","OQB",NULL
"PGF","PCX",NULL
"SPDV","PCX","AAM S&P 500 High Dividend Value"
"ACCMF","OQX","AAC CLYDE SPACE AB"
"AAA","PCX","Alternative Access First Priori"
"QLTA","PCX","iShares Aaa A Rated Corporate B"
"PFLD","PCX","AAM Low Duration Preferred and "
"SAA","PCX","ProShares Ultra SmallCap600"
"GAA","BTS","Cambria Global Asset Allocation"
"JAAA","PCX","Janus Henderson AAA CLO ETF"
"EEMD","PCX","AAM S&P Emerging Markets High D"
"AAPJ","PNK","AAP, Inc."
"DMDV","PCX","AAM S&P Developed Markets High "
"ZKBGF","PNK","SWISSCANTO FONDSLEITUNG AG ZKB "
"BB","NYQ","BlackBerry Limited"
"AZAJ","PCX","AllianzIM U.S. Large Cap Buffer"
"TGIF","PCX",NULL
"ACB","NCM","Aurora Cannabis Inc."
"ABBV","NYQ","AbbVie Inc."
"ABT","NYQ","Abbott Laboratories"
"OTLY","NMS","Oatly Group AB"
"ABCL","NMS","AbCellera Biologics Inc."
"ABEO","NCM","Abeona Therapeutics Inc."
"ALB","NYQ","Albemarle Corporation"
"LB","NYQ","LandBridge Company LLC"
"ABR","NYQ","Arbor Realty Trust"
"ANF","NYQ","Abercrombie & Fitch Company"
"AQB","NCM","AquaBounty Technologies, Inc."
"DB","NYQ","Deutsche Bank AG"
"SB","NYQ","Safe Bulkers, Inc"
"WAB","NYQ","Westinghouse Air Brake Technolo"
"BSCS","NGM","Invesco BulletShares 2028 Corpo"
"WB","NMS","Weibo Corporation"
"VB","PCX","Vanguard Small-Cap ETF"
"CB","NYQ","Chubb Limited"
"AVB","NYQ","AvalonBay Communities, Inc."
"GAB","NYQ","Gabelli Equity Trust, Inc. (The"
"HIRU","PNK",NULL
"SRKZF","PNK",NULL
"RPAR","PCX",NULL
"PPLT","PCX","abrdn Physical Platinum Shares "
"SIVR","PCX","abrdn Physical Silver Shares ET"
"ABG","NYQ","Asbury Automotive Group Inc"
"SGOL","PCX","abrdn Physical Gold Shares ETF"
