Symbol,Date,Bid,Ask
USDJPY,20160104 18:18:20.182,119.456,119.46
USDJPY,20160104 18:18:22.125,119.454,119.46
USDJPY,20160104 18:18:22.438,119.456,119.46
USDJPY,20160104 18:18:22.923,119.456,119.458
USDJPY,20160104 18:18:23.240,119.456,119.46
USDJPY,20160104 18:18:24.515,119.456,119.458
USDJPY,20160104 18:18:25.224,119.456,119.46
USDJPY,20160104 18:18:31.327,119.456,119.458
USDJPY,20160104 18:18:31.464,119.456,119.46
USDJPY,20160104 18:18:31.626,119.454,119.46
USDJPY,20160104 18:18:32.146,119.454,119.458
USDJPY,20160104 18:18:34.646,119.454,119.46
USDJPY,20160104 18:18:36.002,119.454,119.458
USDJPY,20160104 18:18:36.134,119.454,119.45700000000001
USDJPY,20160104 18:18:36.148,119.45100000000001,119.455
USDJPY,20160104 18:18:36.155,119.45,119.455
USDJPY,20160104 18:18:36.317,119.45,119.454
USDJPY,20160104 18:18:39.544,119.45,119.45200000000001
USDJPY,20160104 18:18:39.615,119.45,119.454
USDJPY,20160104 18:18:45.515,119.45,119.45700000000001
USDJPY,20160104 18:18:45.558,119.45,119.454
USDJPY,20160104 18:18:45.665,119.45100000000001,119.454
USDJPY,20160104 18:18:45.750,119.45,119.454
USDJPY,20160104 18:18:45.984,119.45,119.45200000000001
USDJPY,20160104 18:18:46.275,119.45,119.454
USDJPY,20160104 18:18:46.725,119.45,119.45200000000001
USDJPY,20160104 18:18:56.804,119.45,119.454
USDJPY,20160104 18:18:57.127,119.45,119.45200000000001
USDJPY,20160104 18:19:08.691,119.45,119.45100000000001
USDJPY,20160104 18:19:08.799,119.45,119.45200000000001
USDJPY,20160104 18:19:08.992,119.45,119.45100000000001
USDJPY,20160104 18:19:17.578,119.45,119.45200000000001
USDJPY,20160104 18:19:20.796,119.45,119.45100000000001
USDJPY,20160104 18:19:23.064,119.444,119.449
USDJPY,20160104 18:19:23.103,119.444,119.448
USDJPY,20160104 18:19:23.134,119.441,119.448
USDJPY,20160104 18:19:23.143,119.441,119.446
USDJPY,20160104 18:19:23.223,119.441,119.445
USDJPY,20160104 18:19:26.043,119.439,119.445
USDJPY,20160104 18:19:26.768,119.441,119.445
USDJPY,20160104 18:19:26.969,119.439,119.445
USDJPY,20160104 18:19:27.624,119.441,119.445
USDJPY,20160104 18:19:28.095,119.439,119.445
USDJPY,20160104 18:19:28.222,119.441,119.445
USDJPY,20160104 18:19:30.029,119.439,119.445
USDJPY,20160104 18:19:30.163,119.441,119.445
USDJPY,20160104 18:19:31.621,119.439,119.445
USDJPY,20160104 18:19:32.263,119.441,119.445
USDJPY,20160104 18:19:32.894,119.439,119.44200000000001
USDJPY,20160104 18:19:32.919,119.436,119.44200000000001
USDJPY,20160104 18:19:32.947,119.436,119.44
USDJPY,20160104 18:19:33.061,119.436,119.439
USDJPY,20160104 18:19:33.120,119.43299999999999,119.439
USDJPY,20160104 18:19:34.979,119.43299999999999,119.43700000000001
USDJPY,20160104 18:19:35.083,119.43299999999999,119.439
USDJPY,20160104 18:19:35.203,119.43299999999999,119.43700000000001
USDJPY,20160104 18:19:35.592,119.43299999999999,119.439
USDJPY,20160104 18:19:35.845,119.435,119.439
USDJPY,20160104 18:19:37.081,119.43299999999999,119.439
USDJPY,20160104 18:19:37.136,119.43299999999999,119.43700000000001
USDJPY,20160104 18:19:38.385,119.43299999999999,119.439
USDJPY,20160104 18:19:38.852,119.435,119.439
USDJPY,20160104 18:19:39.203,119.435,119.43700000000001
USDJPY,20160104 18:19:39.239,119.43299999999999,119.43700000000001
USDJPY,20160104 18:19:39.460,119.43299999999999,119.439
USDJPY,20160104 18:19:39.504,119.43299999999999,119.43700000000001
USDJPY,20160104 18:19:39.620,119.43299999999999,119.439
USDJPY,20160104 18:19:40.208,119.43299999999999,119.43700000000001
USDJPY,20160104 18:19:41.486,119.43299999999999,119.439
USDJPY,20160104 18:19:41.944,119.43299999999999,119.43700000000001
USDJPY,20160104 18:19:45.622,119.43299999999999,119.439
USDJPY,20160104 18:19:45.695,119.43299999999999,119.44
USDJPY,20160104 18:19:45.740,119.43299999999999,119.439
USDJPY,20160104 18:19:45.865,119.435,119.439
USDJPY,20160104 18:19:46.185,119.435,119.43700000000001
USDJPY,20160104 18:19:46.212,119.43299999999999,119.43700000000001
USDJPY,20160104 18:19:46.605,119.43299999999999,119.439
USDJPY,20160104 18:19:48.035,119.43299999999999,119.43700000000001
USDJPY,20160104 18:19:49.917,119.43299999999999,119.439
USDJPY,20160104 18:19:50.122,119.435,119.439
USDJPY,20160104 18:19:50.142,119.435,119.43700000000001
USDJPY,20160104 18:19:50.196,119.43299999999999,119.43700000000001
USDJPY,20160104 18:19:51.071,119.43299999999999,119.434
USDJPY,20160104 18:19:51.079,119.43,119.434
USDJPY,20160104 18:19:51.157,119.429,119.434
USDJPY,20160104 18:19:51.215,119.427,119.434
USDJPY,20160104 18:19:51.239,119.43,119.434
USDJPY,20160104 18:19:51.337,119.427,119.434
USDJPY,20160104 18:19:51.431,119.427,119.43299999999999
USDJPY,20160104 18:19:51.552,119.427,119.431
USDJPY,20160104 18:19:52.143,119.427,119.43299999999999
USDJPY,20160104 18:19:52.164,119.427,119.434
USDJPY,20160104 18:19:52.329,119.429,119.434
USDJPY,20160104 18:19:52.419,119.429,119.43299999999999
USDJPY,20160104 18:19:55.317,119.429,119.434
USDJPY,20160104 18:19:55.538,119.432,119.434
USDJPY,20160104 18:19:55.548,119.432,119.43700000000001
