Symbol,Date,Bid,Ask
AUDJPY,20160104 16:39:09.188,85.57799999999999,85.588
AUDJPY,20160104 16:39:09.413,85.57799999999999,85.585
AUDJPY,20160104 16:39:09.496,85.575,85.585
AUDJPY,20160104 16:39:09.919,85.575,85.583
AUDJPY,20160104 16:39:10.446,85.575,85.585
AUDJPY,20160104 16:39:11.131,85.57600000000001,85.585
AUDJPY,20160104 16:39:11.357,85.575,85.585
AUDJPY,20160104 16:39:11.715,85.575,85.583
AUDJPY,20160104 16:39:11.738,85.573,85.583
AUDJPY,20160104 16:39:12.306,85.575,85.585
AUDJPY,20160104 16:39:12.347,85.575,85.583
AUDJPY,20160104 16:39:12.359,85.573,85.58200000000001
AUDJPY,20160104 16:39:13.354,85.573,85.583
AUDJPY,20160104 16:39:14.079,85.572,85.583
AUDJPY,20160104 16:39:14.134,85.572,85.58
AUDJPY,20160104 16:39:14.193,85.57,85.58
AUDJPY,20160104 16:39:14.597,85.569,85.58
AUDJPY,20160104 16:39:14.856,85.57,85.58
AUDJPY,20160104 16:39:15.588,85.569,85.58
AUDJPY,20160104 16:39:16.030,85.57,85.58
AUDJPY,20160104 16:39:16.281,85.569,85.58
AUDJPY,20160104 16:39:16.543,85.573,85.58
AUDJPY,20160104 16:39:16.564,85.575,85.585
AUDJPY,20160104 16:39:16.575,85.575,85.586
AUDJPY,20160104 16:39:16.617,85.57799999999999,85.588
AUDJPY,20160104 16:39:16.653,85.57600000000001,85.583
AUDJPY,20160104 16:39:16.666,85.575,85.583
AUDJPY,20160104 16:39:16.667,85.57600000000001,85.583
AUDJPY,20160104 16:39:16.677,85.57600000000001,85.586
AUDJPY,20160104 16:39:16.702,85.57600000000001,85.585
AUDJPY,20160104 16:39:16.720,85.57600000000001,85.586
AUDJPY,20160104 16:39:17.136,85.575,85.588
AUDJPY,20160104 16:39:17.260,85.573,85.586
AUDJPY,20160104 16:39:17.652,85.573,85.585
AUDJPY,20160104 16:39:17.659,85.572,85.585
AUDJPY,20160104 16:39:18.135,85.572,85.586
AUDJPY,20160104 16:39:18.237,85.572,85.588
AUDJPY,20160104 16:39:18.247,85.572,85.586
AUDJPY,20160104 16:39:18.942,85.573,85.588
AUDJPY,20160104 16:39:18.946,85.575,85.588
AUDJPY,20160104 16:39:19.519,85.575,85.586
AUDJPY,20160104 16:39:19.672,85.575,85.588
AUDJPY,20160104 16:39:19.677,85.57799999999999,85.588
AUDJPY,20160104 16:39:19.693,85.57799999999999,85.59100000000001
AUDJPY,20160104 16:39:20.133,85.57799999999999,85.588
AUDJPY,20160104 16:39:20.146,85.57600000000001,85.588
AUDJPY,20160104 16:39:20.472,85.575,85.588
AUDJPY,20160104 16:39:20.641,85.57600000000001,85.59100000000001
AUDJPY,20160104 16:39:20.650,85.57799999999999,85.59100000000001
AUDJPY,20160104 16:39:22.476,85.575,85.59100000000001
AUDJPY,20160104 16:39:22.536,85.575,85.589
AUDJPY,20160104 16:39:23.199,85.575,85.588
AUDJPY,20160104 16:39:23.259,85.573,85.588
AUDJPY,20160104 16:39:23.405,85.575,85.588
AUDJPY,20160104 16:39:23.635,85.573,85.588
AUDJPY,20160104 16:39:24.026,85.575,85.588
AUDJPY,20160104 16:39:25.250,85.573,85.588
AUDJPY,20160104 16:39:25.496,85.572,85.588
AUDJPY,20160104 16:39:25.512,85.572,85.586
AUDJPY,20160104 16:39:25.587,85.573,85.586
AUDJPY,20160104 16:39:25.883,85.572,85.586
AUDJPY,20160104 16:39:26.844,85.573,85.586
AUDJPY,20160104 16:39:27.185,85.572,85.586
AUDJPY,20160104 16:39:27.682,85.572,85.588
AUDJPY,20160104 16:39:27.951,85.573,85.588
AUDJPY,20160104 16:39:28.042,85.575,85.588
AUDJPY,20160104 16:39:29.213,85.573,85.588
AUDJPY,20160104 16:39:29.418,85.575,85.588
AUDJPY,20160104 16:39:30.044,85.57799999999999,85.588
AUDJPY,20160104 16:39:30.185,85.57600000000001,85.588
AUDJPY,20160104 16:39:30.218,85.57799999999999,85.588
AUDJPY,20160104 16:39:30.866,85.57600000000001,85.588
AUDJPY,20160104 16:39:31.167,85.57799999999999,85.588
AUDJPY,20160104 16:39:31.190,85.57600000000001,85.588
AUDJPY,20160104 16:39:31.241,85.57799999999999,85.588
AUDJPY,20160104 16:39:31.748,85.581,85.59100000000001
AUDJPY,20160104 16:39:31.760,85.584,85.59100000000001
AUDJPY,20160104 16:39:33.907,85.584,85.59200000000001
AUDJPY,20160104 16:39:34.103,85.584,85.594
AUDJPY,20160104 16:39:34.347,85.585,85.594
AUDJPY,20160104 16:39:35.191,85.584,85.594
AUDJPY,20160104 16:39:35.222,85.584,85.59200000000001
AUDJPY,20160104 16:39:37.285,85.58200000000001,85.59200000000001
AUDJPY,20160104 16:39:37.295,85.584,85.59200000000001
AUDJPY,20160104 16:39:37.780,85.58200000000001,85.59200000000001
AUDJPY,20160104 16:39:37.792,85.584,85.59200000000001
AUDJPY,20160104 16:39:38.287,85.58200000000001,85.59200000000001
AUDJPY,20160104 16:39:38.303,85.584,85.59200000000001
AUDJPY,20160104 16:39:38.319,85.58200000000001,85.59200000000001
AUDJPY,20160104 16:39:39.673,85.584,85.59200000000001
AUDJPY,20160104 16:39:40.144,85.584,85.59100000000001
AUDJPY,20160104 16:39:40.312,85.58200000000001,85.59100000000001
AUDJPY,20160104 16:39:40.318,85.584,85.59100000000001
AUDJPY,20160104 16:39:40.797,85.58200000000001,85.59100000000001
AUDJPY,20160104 16:39:40.812,85.584,85.59100000000001
AUDJPY,20160104 16:39:41.296,85.58200000000001,85.59100000000001
AUDJPY,20160104 16:39:41.314,85.584,85.59100000000001
AUDJPY,20160104 16:39:41.884,85.584,85.59200000000001
AUDJPY,20160104 16:39:42.119,85.58200000000001,85.59100000000001
AUDJPY,20160104 16:39:42.129,85.581,85.59100000000001
AUDJPY,20160104 16:39:42.192,85.58200000000001,85.59100000000001
AUDJPY,20160104 16:39:42.266,85.584,85.59100000000001
AUDJPY,20160104 16:39:42.311,85.58200000000001,85.59100000000001
AUDJPY,20160104 16:39:42.322,85.584,85.59100000000001
AUDJPY,20160104 16:39:42.344,85.584,85.59200000000001
AUDJPY,20160104 16:39:42.401,85.581,85.59200000000001
AUDJPY,20160104 16:39:42.434,85.584,85.594
AUDJPY,20160104 16:39:42.644,85.585,85.594
AUDJPY,20160104 16:39:43.122,85.584,85.594
AUDJPY,20160104 16:39:49.070,85.587,85.594
AUDJPY,20160104 16:39:49.330,85.585,85.594
AUDJPY,20160104 16:39:50.056,85.587,85.594
AUDJPY,20160104 16:39:50.492,85.587,85.59200000000001
AUDJPY,20160104 16:39:50.530,85.584,85.59200000000001
AUDJPY,20160104 16:39:50.543,85.587,85.59200000000001
AUDJPY,20160104 16:39:50.802,85.587,85.594
AUDJPY,20160104 16:39:51.081,85.587,85.59200000000001
AUDJPY,20160104 16:39:51.415,85.585,85.59200000000001
AUDJPY,20160104 16:39:51.448,85.587,85.59200000000001
AUDJPY,20160104 16:39:51.469,85.585,85.59200000000001
AUDJPY,20160104 16:39:51.935,85.584,85.59200000000001
AUDJPY,20160104 16:39:52.293,85.585,85.59200000000001
AUDJPY,20160104 16:39:52.443,85.584,85.59200000000001
AUDJPY,20160104 16:39:52.796,85.585,85.59200000000001
AUDJPY,20160104 16:39:53.603,85.584,85.59200000000001
AUDJPY,20160104 16:39:55.666,85.58200000000001,85.59200000000001
AUDJPY,20160104 16:39:55.675,85.58200000000001,85.594
AUDJPY,20160104 16:39:55.726,85.584,85.594
AUDJPY,20160104 16:39:56.184,85.584,85.59200000000001
AUDJPY,20160104 16:39:59.254,85.584,85.594
AUDJPY,20160104 16:39:59.373,85.584,85.59200000000001
AUDJPY,20160104 16:40:00.058,85.585,85.59200000000001
AUDJPY,20160104 16:40:00.916,85.587,85.59200000000001
AUDJPY,20160104 16:40:01.948,85.587,85.594
AUDJPY,20160104 16:40:01.954,85.585,85.594
AUDJPY,20160104 16:40:01.982,85.587,85.594
AUDJPY,20160104 16:40:03.327,85.584,85.594
AUDJPY,20160104 16:40:03.546,85.584,85.59200000000001
AUDJPY,20160104 16:40:03.561,85.585,85.59200000000001
AUDJPY,20160104 16:40:03.677,85.584,85.59200000000001
AUDJPY,20160104 16:40:03.768,85.584,85.59100000000001
AUDJPY,20160104 16:40:03.943,85.58200000000001,85.59100000000001
AUDJPY,20160104 16:40:03.949,85.579,85.59100000000001
AUDJPY,20160104 16:40:04.143,85.58200000000001,85.59100000000001
AUDJPY,20160104 16:40:04.178,85.579,85.59100000000001
AUDJPY,20160104 16:40:04.789,85.579,85.589
AUDJPY,20160104 16:40:04.798,85.579,85.59100000000001
AUDJPY,20160104 16:40:05.457,85.579,85.589
AUDJPY,20160104 16:40:05.552,85.579,85.588
AUDJPY,20160104 16:40:07.703,85.579,85.585
AUDJPY,20160104 16:40:07.841,85.579,85.586
AUDJPY,20160104 16:40:08.366,85.579,85.585
AUDJPY,20160104 16:40:09.128,85.579,85.586
AUDJPY,20160104 16:40:09.138,85.579,85.588
AUDJPY,20160104 16:40:10.010,85.579,85.585
AUDJPY,20160104 16:40:10.013,85.57799999999999,85.585
AUDJPY,20160104 16:40:12.584,85.57799999999999,85.588
AUDJPY,20160104 16:40:12.716,85.57799999999999,85.589
AUDJPY,20160104 16:40:12.754,85.57799999999999,85.588
AUDJPY,20160104 16:40:12.841,85.57799999999999,85.586
AUDJPY,20160104 16:40:12.850,85.57799999999999,85.588
AUDJPY,20160104 16:40:12.930,85.57600000000001,85.588
AUDJPY,20160104 16:40:12.938,85.57600000000001,85.585
AUDJPY,20160104 16:40:12.962,85.57600000000001,85.586
AUDJPY,20160104 16:40:15.674,85.575,85.585
AUDJPY,20160104 16:40:16.965,85.575,85.586
AUDJPY,20160104 16:40:17.582,85.575,85.585
AUDJPY,20160104 16:40:17.605,85.575,85.586
AUDJPY,20160104 16:40:17.635,85.57600000000001,85.586
AUDJPY,20160104 16:40:17.656,85.57799999999999,85.586
AUDJPY,20160104 16:40:19.584,85.575,85.586
AUDJPY,20160104 16:40:19.615,85.575,85.585
AUDJPY,20160104 16:40:20.729,85.57799999999999,85.585
AUDJPY,20160104 16:40:21.854,85.575,85.585
AUDJPY,20160104 16:40:22.654,85.57,85.58200000000001
AUDJPY,20160104 16:40:22.667,85.57,85.579
AUDJPY,20160104 16:40:22.738,85.569,85.579
