Symbol,Date,Bid,Ask
GBPUSD,20160104 19:46:11.917,1.47116,1.47125
GBPUSD,20160104 19:46:12.050,1.47116,1.47119
GBPUSD,20160104 19:46:12.430,1.47116,1.47125
GBPUSD,20160104 19:46:12.549,1.47116,1.4712100000000001
GBPUSD,20160104 19:46:12.627,1.47116,1.47119
GBPUSD,20160104 19:46:12.753,1.47116,1.4712399999999999
GBPUSD,20160104 19:46:12.777,1.47116,1.47125
GBPUSD,20160104 19:46:12.868,1.47116,1.47119
GBPUSD,20160104 19:46:13.191,1.47116,1.47125
GBPUSD,20160104 19:46:13.282,1.47116,1.4712100000000001
GBPUSD,20160104 19:46:13.315,1.47116,1.47118
GBPUSD,20160104 19:46:13.437,1.47116,1.4712399999999999
GBPUSD,20160104 19:46:13.448,1.47116,1.47125
GBPUSD,20160104 19:46:13.627,1.47116,1.4712100000000001
GBPUSD,20160104 19:46:13.650,1.47116,1.47119
GBPUSD,20160104 19:46:13.784,1.47116,1.4712399999999999
GBPUSD,20160104 19:46:13.796,1.47116,1.47125
GBPUSD,20160104 19:46:13.912,1.47116,1.47119
GBPUSD,20160104 19:46:14.051,1.47116,1.47122
GBPUSD,20160104 19:46:14.077,1.47116,1.47125
GBPUSD,20160104 19:46:14.206,1.47116,1.47118
GBPUSD,20160104 19:46:14.357,1.47116,1.4712399999999999
GBPUSD,20160104 19:46:14.378,1.47116,1.47125
GBPUSD,20160104 19:46:14.515,1.47116,1.47118
GBPUSD,20160104 19:46:15.096,1.47116,1.4712100000000001
GBPUSD,20160104 19:46:15.096,1.47116,1.47125
GBPUSD,20160104 19:46:15.202,1.47116,1.4712100000000001
GBPUSD,20160104 19:46:15.297,1.47116,1.47118
GBPUSD,20160104 19:46:15.364,1.47116,1.4712399999999999
GBPUSD,20160104 19:46:15.371,1.47116,1.47125
GBPUSD,20160104 19:46:15.574,1.47116,1.4712100000000001
GBPUSD,20160104 19:46:15.642,1.47116,1.47118
GBPUSD,20160104 19:46:15.696,1.47116,1.4712399999999999
GBPUSD,20160104 19:46:15.712,1.47116,1.47125
GBPUSD,20160104 19:46:15.790,1.47116,1.4712100000000001
GBPUSD,20160104 19:46:15.912,1.47116,1.47118
GBPUSD,20160104 19:46:15.997,1.47116,1.47125
GBPUSD,20160104 19:46:16.171,1.47116,1.4712100000000001
GBPUSD,20160104 19:46:16.217,1.47116,1.4712399999999999
GBPUSD,20160104 19:46:16.243,1.47116,1.47125
GBPUSD,20160104 19:46:16.339,1.47116,1.47122
GBPUSD,20160104 19:46:24.743,1.47117,1.47122
GBPUSD,20160104 19:46:24.760,1.47117,1.47125
GBPUSD,20160104 19:46:25.096,1.47118,1.47127
GBPUSD,20160104 19:46:25.110,1.47117,1.47127
GBPUSD,20160104 19:46:28.025,1.47116,1.47127
GBPUSD,20160104 19:46:28.084,1.47116,1.47125
GBPUSD,20160104 19:46:30.627,1.47117,1.47125
GBPUSD,20160104 19:46:30.996,1.47116,1.47125
GBPUSD,20160104 19:46:31.114,1.47117,1.47125
GBPUSD,20160104 19:46:31.579,1.47116,1.47125
GBPUSD,20160104 19:46:32.147,1.47114,1.47125
GBPUSD,20160104 19:46:33.015,1.47116,1.47125
GBPUSD,20160104 19:46:33.148,1.47114,1.47125
GBPUSD,20160104 19:46:45.888,1.47116,1.47125
GBPUSD,20160104 19:46:46.078,1.47116,1.47127
GBPUSD,20160104 19:46:46.866,1.47117,1.47127
GBPUSD,20160104 19:46:46.881,1.4712,1.47127
GBPUSD,20160104 19:46:46.936,1.47118,1.47127
GBPUSD,20160104 19:46:46.973,1.47118,1.47128
GBPUSD,20160104 19:46:47.042,1.47117,1.47128
GBPUSD,20160104 19:46:47.286,1.47118,1.47128
GBPUSD,20160104 19:46:47.653,1.4712,1.47128
GBPUSD,20160104 19:46:48.679,1.47117,1.47128
GBPUSD,20160104 19:46:48.863,1.4712399999999999,1.47129
GBPUSD,20160104 19:46:48.957,1.4712,1.47128
GBPUSD,20160104 19:46:48.970,1.47118,1.47128
GBPUSD,20160104 19:46:49.024,1.47117,1.47128
GBPUSD,20160104 19:46:49.047,1.47117,1.47125
GBPUSD,20160104 19:46:49.083,1.47117,1.47128
GBPUSD,20160104 19:46:49.128,1.47116,1.47128
GBPUSD,20160104 19:46:49.438,1.47116,1.47125
GBPUSD,20160104 19:46:49.475,1.47116,1.47128
GBPUSD,20160104 19:46:49.579,1.47117,1.47128
GBPUSD,20160104 19:46:50.905,1.47117,1.47127
GBPUSD,20160104 19:46:50.925,1.47117,1.47125
GBPUSD,20160104 19:46:50.988,1.47114,1.47125
GBPUSD,20160104 19:46:58.564,1.47117,1.47125
GBPUSD,20160104 19:46:58.585,1.47117,1.47127
GBPUSD,20160104 19:46:58.848,1.47118,1.47128
GBPUSD,20160104 19:47:00.240,1.47117,1.47128
GBPUSD,20160104 19:47:01.619,1.4712100000000001,1.47125
GBPUSD,20160104 19:47:01.762,1.4712,1.47125
GBPUSD,20160104 19:47:01.844,1.47118,1.47128
GBPUSD,20160104 19:47:02.102,1.47117,1.47128
GBPUSD,20160104 19:47:02.144,1.47117,1.47125
GBPUSD,20160104 19:47:02.204,1.47117,1.47128
GBPUSD,20160104 19:47:02.562,1.47117,1.47125
GBPUSD,20160104 19:47:02.929,1.47117,1.47128
GBPUSD,20160104 19:47:03.346,1.47117,1.47125
GBPUSD,20160104 19:47:03.647,1.47117,1.47128
GBPUSD,20160104 19:47:04.391,1.47117,1.47125
GBPUSD,20160104 19:47:04.699,1.47116,1.47125
GBPUSD,20160104 19:47:05.770,1.47116,1.47127
GBPUSD,20160104 19:47:05.951,1.47116,1.47125
GBPUSD,20160104 19:47:06.039,1.47116,1.47127
GBPUSD,20160104 19:47:11.643,1.47116,1.47125
GBPUSD,20160104 19:47:12.333,1.47116,1.47127
GBPUSD,20160104 19:47:12.445,1.47116,1.47125
GBPUSD,20160104 19:47:12.647,1.47116,1.47127
GBPUSD,20160104 19:47:12.760,1.47116,1.47125
GBPUSD,20160104 19:47:13.595,1.47116,1.47127
GBPUSD,20160104 19:47:13.688,1.47116,1.47125
GBPUSD,20160104 19:47:13.881,1.47116,1.4712100000000001
GBPUSD,20160104 19:47:13.891,1.47114,1.47119
GBPUSD,20160104 19:47:13.929,1.4711100000000001,1.47118
GBPUSD,20160104 19:47:13.959,1.4711,1.47117
GBPUSD,20160104 19:47:14.046,1.47107,1.47117
GBPUSD,20160104 19:47:14.054,1.47107,1.47115
GBPUSD,20160104 19:47:16.759,1.47107,1.47114
GBPUSD,20160104 19:47:16.801,1.47104,1.47114
GBPUSD,20160104 19:47:21.947,1.47107,1.47114
GBPUSD,20160104 19:47:21.955,1.47107,1.47117
GBPUSD,20160104 19:47:25.323,1.47109,1.47117
GBPUSD,20160104 19:47:25.601,1.47107,1.47117
GBPUSD,20160104 19:47:34.548,1.47106,1.47115
GBPUSD,20160104 19:47:34.563,1.47106,1.47114
GBPUSD,20160104 19:47:34.725,1.47104,1.47114
GBPUSD,20160104 19:47:37.858,1.47104,1.47112
GBPUSD,20160104 19:47:38.009,1.47104,1.47114
GBPUSD,20160104 19:47:38.179,1.47106,1.47114
GBPUSD,20160104 19:47:38.291,1.47107,1.47114
GBPUSD,20160104 19:47:41.742,1.47109,1.47114
GBPUSD,20160104 19:47:41.761,1.47109,1.47115
GBPUSD,20160104 19:47:41.852,1.47107,1.47115
GBPUSD,20160104 19:47:42.935,1.47109,1.47115
GBPUSD,20160104 19:47:43.045,1.4711,1.47115
GBPUSD,20160104 19:47:46.018,1.47109,1.47115
GBPUSD,20160104 19:47:46.030,1.47107,1.47115
GBPUSD,20160104 19:47:49.505,1.47109,1.47115
GBPUSD,20160104 19:47:52.847,1.47107,1.47115
GBPUSD,20160104 19:48:00.362,1.47109,1.47115
GBPUSD,20160104 19:48:06.381,1.47107,1.47115
GBPUSD,20160104 19:48:07.083,1.4711,1.47115
GBPUSD,20160104 19:48:07.102,1.4711100000000001,1.47115
GBPUSD,20160104 19:48:07.170,1.47114,1.47115
GBPUSD,20160104 19:48:08.074,1.4711,1.47115
GBPUSD,20160104 19:48:08.141,1.47109,1.47115
GBPUSD,20160104 19:48:08.171,1.4711,1.47115
GBPUSD,20160104 19:48:08.196,1.47109,1.47115
GBPUSD,20160104 19:48:09.738,1.4711100000000001,1.47115
GBPUSD,20160104 19:48:09.843,1.4711,1.47115
GBPUSD,20160104 19:48:09.978,1.47114,1.47115
GBPUSD,20160104 19:48:09.988,1.4711,1.47115
GBPUSD,20160104 19:48:11.589,1.4711,1.47117
GBPUSD,20160104 19:48:17.729,1.4711100000000001,1.47117
GBPUSD,20160104 19:48:17.739,1.47114,1.47117
GBPUSD,20160104 19:48:17.863,1.47114,1.4712100000000001
GBPUSD,20160104 19:48:24.203,1.47116,1.4712100000000001
GBPUSD,20160104 19:48:24.758,1.47114,1.4712100000000001
GBPUSD,20160104 19:48:26.215,1.4711299999999998,1.47119
GBPUSD,20160104 19:48:26.232,1.4711,1.47119
GBPUSD,20160104 19:48:27.026,1.4711,1.47118
GBPUSD,20160104 19:48:27.027,1.47107,1.47117
