API Well Number,County,Company Name,API Hole Number,Sidetrack,Completion,Well Type,Production Field Name,Well Status,Well Name,Town,Producing Formation,Months in Production,"Gas Produced, MCF","Water Produced, bbl",Reporting Year,Location 1
31013177190000,13,"REI-NY, Inc.",17719,0,0,OD,Gerry-Charlotte,IN,Piazza #2,Gerry,Bass Island,12,10762,3523,1987,"Gerry, NY
(42.19296008200047, -79.24892957399965)"
31013184150000,13,Dannic Energy Corp.,18415,0,0,GD,Lakeshore,AC,J Bloomquist Unit 1,Carroll,Medina,12,880,0,1995,"Carroll, NY
(42.01751177700049, -78.34077780999968)"
31013181550000,13,"Lenape Resources, Inc.",18155,0,0,OW,Ellery,IN,Willoughby #175,Ellery,Bass Island,0,0,0,1991,"Ellery, NY
(42.19514403000045, -79.38579925999966)"
31009187610000,9,Seneca Resources Corp.,18761,0,0,GD,Lakeshore,AC,Milks #6308,Dayton,Medina,12,5459,3,1987,"Dayton, NY
(42.41671428500047, -78.97703918699966)"
31029186430000,29,"Sierra Energy, Inc.",18643,0,0,GD,Orchard Park-Hamburg,AC,Fierle #1,Hamburg,Medina,12,3406,12,1990,"Hamburg, NY
(42.71606257200045, -78.83210809599967)"
31121170790000,121,"Lenape Resources, Inc.",17079,0,0,GD,Leicester,AC,"Butler, D #111",Perry,Medina,12,6959,0,1987,"Perry, NY
(42.719613163000474, -78.00549933199966)"
31051194320000,51,"Livingston Landowners Gas & Energy, Inc.",19432,0,0,GD,Avon,IN,Kotak 1,Avon,Medina,0,0,0,1993,"Avon, NY
(42.91258218200045, -77.74701633399968)"
31009172120000,9,Great Lakes Energy Partners,17212,0,0,GD,Lakeshore,AC,Allen #1,Conewango,Medina,12,776,0,1999,"Conewango, NY
(42.239622435000456, -79.05676892799966)"
31003603480000,3,"Alma Gas, Inc.",60348,0,0,GD,Sharon,AC,O'Donnell #2101,Alma,Upper Devonian,12,156,0,1992,"Alma, NY
(42.01271066300046, -78.05476991799964)"
31029164510000,29,Eden Vfw Post #8265,16451,0,0,GD,Brant-Eden,AC,Vfw 1,Eden,Medina,4,251,2,1987,"Eden, NY
(42.66478221800048, -78.88882822399967)"
31009180760000,9,"Texas Keystone, Inc.",18076,0,0,GD,Lakeshore,AC,M Salisbury #2,Otto,Medina,12,3486,0,1994,"Otto, NY
(42.356452499000454, -78.83082631199966)"
31037204500000,37,United States Gypsum Co.,20450,0,0,GD,Danley Corners,AC,"Burkhardt, J. #2",Darien,Medina,12,8079,0,1991,"Darien, NY
(42.90205099500048, -78.35201911399963)"
