0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
rt,0.55687,0.63284,-0.15609,0.26397,0.28015,-0.36506,-0.12128,0.45216999999999996,-0.16122999999999998,0.015791,0.49511000000000005,0.054643,0.66865,0.44101,-0.48446000000000006,0.12594,0.40596,-0.086889,-0.2352,-0.007365699999999999,0.58835,-0.12100999999999999,-0.11671,-0.47415,0.47753,-1.3069,-0.42765,-0.0055401,0.2247,0.061140999999999994,0.010707,0.20651999999999998,-0.48375,0.40042,0.35775999999999997,0.17049,-0.23819,0.28888,-0.069899,0.09479299999999999,-0.33916999999999997,-0.11422,0.016834000000000002,0.53581,0.25739,-0.2775,0.056731,0.34448,-0.10715,-0.21423000000000003,0.020693,-0.59172,-0.39452,-0.1925,0.20454,0.40205,-0.096825,-0.037272,0.32491,-0.26628,0.0072483999999999995,0.19783,0.17485,-0.071738,0.084738,-0.43062,0.016838,0.14359,-0.13822,0.27964,0.31179,0.33653,0.12314000000000001,-0.15905999999999998,-0.62741,-0.8383799999999999,-0.069363,0.28698,-0.11667999999999999,-0.43706000000000006,-0.063269,-0.19582,0.42072,0.19197,0.057277999999999996,0.32468,-0.59688,0.82594,-0.7103,0.47353999999999996,0.11517000000000001,-0.11188,-0.5344399999999999,0.015747999999999998,-0.57038,-0.1253,-0.45733,0.42662,0.41063999999999995,-0.27635,-0.2032,0.14295,0.46531999999999996,0.16804000000000002,0.022694,-0.24602,0.05930800000000001,0.73777,-0.29451,-0.33315,-0.29938000000000003,0.33871,0.37681,0.31939,-0.014027000000000001,0.32298000000000004,0.054817,0.13213,0.3252,-0.6153,-0.12941,0.28465,0.32881,0.25361999999999996,0.27244,-0.8216899999999999,0.41908,-0.62524,-1.2176,0.27902,-0.33003000000000005,-0.20213,-0.28881,-0.07147300000000001,0.23549,0.38409,0.13101,0.17312,0.018403,-0.29669,0.17959,-0.33733,-0.82358,0.1042,-0.5161899999999999,0.035018,-0.19027,0.50867,0.023112999999999998,-0.53112,0.10042999999999999,0.27881,-4.2515,0.44271000000000005,0.29930999999999996,-0.23305,0.011018,0.07118,0.14536,0.2012,-0.046338,0.36196,-0.33985,0.65517,-0.045043,-0.39308000000000004,0.22788000000000003,0.30343000000000003,-0.058125,0.18367,-0.22463000000000002,-0.46903,-0.20435,-0.13255999999999998,-0.73335,-0.42302,0.14038,0.59022,-0.28843,-0.09194,0.18957000000000002,0.039595,-0.11694,0.67706,-0.23313000000000003,-0.079736,-0.46375,-0.054137,0.0557,-0.12069,-0.30669,-0.15438,-0.19857,0.064394,-0.14346,-0.10524000000000001,-0.57253,0.23856999999999998,-0.79235,0.23761
i,0.056403999999999996,0.49536,0.18439,0.054535,-0.51751,0.13517,-0.028431,-0.28941,-0.36937,0.13805,-0.40431999999999996,-0.38688,-0.92374,0.084847,-0.025726,0.074009,-0.15078,0.017502,-0.26418,0.070203,0.06080599999999999,0.057828,0.53376,-0.45798,-0.34893,0.41734,-0.14478,0.05121900000000001,0.60852,-0.14347000000000001,-1.0784,0.15325999999999998,-0.62126,-0.10352,-0.17531,0.3202,-0.065742,0.28368000000000004,-0.093065,0.42999,0.036164,-0.043594,0.6453399999999999,-0.030429,-0.06962,0.46912,0.41153999999999996,0.10764000000000001,-0.41528000000000004,-0.37646,0.0042483,-0.0038518000000000003,-0.54801,0.4268,0.1213,-0.13655,-0.12625,-0.077671,-0.048875,0.18646,-0.20102,0.16072,-0.24878000000000003,-0.03254,0.089225,0.23424,-0.14706,0.17401,-0.2005,-0.5281399999999999,-0.060837999999999996,-0.38587,-0.10137,-0.7531399999999999,-0.10833,-0.22125999999999998,-0.25788,0.08868,-0.44523999999999997,-0.48773,0.34806,0.72463,-0.54181,0.014613999999999999,-0.03025,-0.5048600000000001,-0.38994,-0.41185,0.40449,-0.13938,0.36416,0.32814,0.2876,0.036742000000000004,-0.54919,0.0026954,-0.66878,-0.14724,0.58611,0.1944,-0.28183,0.30246999999999996,-0.28515999999999997,0.21857,0.04519,-0.021381,-0.1782,-0.26819,-0.17461,-0.090044,-0.56435,0.016128,0.46715,-0.13784000000000002,0.30693000000000004,-0.1195,0.048228,-0.38087,0.13975,-0.1778,-0.16895,-0.41903,-0.28014,0.085721,0.1591,0.16362000000000002,0.049473,0.24218,-0.2872,0.05273200000000001,0.099733,0.18525999999999998,-0.39043,0.016128999999999998,-0.32187,-0.60063,0.34471,0.071991,0.35411,-0.26071,0.24218,0.13291,-0.13185999999999998,0.49163,-0.03107,0.5214,0.33929000000000004,-0.021473,0.37887,-0.31674,0.02276,0.67114,-6.5906,1.0882,0.41578000000000004,0.35602,-0.43386,0.036837,-0.9477899999999999,0.076451,0.20440999999999998,-0.39052,-0.27733,-0.13655,-0.30801,0.15603,0.34511,0.37337,-0.39021999999999996,0.036026999999999997,-0.29752,0.46818999999999994,0.039796,-0.20419,0.12409,0.22593000000000002,0.21816999999999998,0.044821,-0.13675,-0.35873,0.16696,0.22434,0.015491,0.27953,0.70375,-0.14428,0.47438,0.17737,-0.20384000000000002,-0.23396999999999998,-0.47247,-0.23686999999999997,-0.10937000000000001,-0.23435999999999998,-0.75368,0.27098,-0.20515,0.63598,-0.1888,-0.035558
a,0.14931,0.27889,0.08997899999999999,0.40881999999999996,-0.21328000000000003,0.15406,-0.025642,-0.64515,-0.71643,-0.11794,-0.29600000000000004,-0.43363,-0.21885,0.032777999999999995,0.15606,0.022966,-0.053795,0.33621999999999996,-0.6211300000000001,0.10144,0.23715999999999998,-0.051758000000000005,0.29100000000000004,-0.4331,0.51603,-1.9666,0.20310999999999998,0.066447,0.15362,0.64771,-0.38559,0.0047402,-0.052267999999999995,-0.10286,0.006790899999999999,0.51034,-0.19149000000000002,-0.10676,-0.93639,0.23279,-0.68884,0.046741000000000005,0.10390999999999999,0.17044,0.5332,-0.16093,0.098364,0.36096,0.076576,0.40381,-0.021509999999999998,0.064061,-0.32644,-0.1555,-0.014447,0.55337,0.25903000000000004,0.10480999999999999,0.31606,0.21116,0.30245,-0.18877,-0.53178,0.022984,0.77533,-0.17901,-0.14461,0.07901699999999999,-0.6108399999999999,-0.32571,-0.24361999999999998,-0.14472000000000002,0.17300000000000001,-0.48226,0.07964500000000001,-0.17424,-0.20305,0.087496,0.084781,0.19527,0.3927,0.16613,-0.31525,-0.079715,0.17212,0.45553,-0.011114,-0.1195,-0.39213000000000003,0.49166000000000004,0.56016,0.24092,0.015597,0.33681,0.4724,0.17707,-0.17481,-0.26716,-0.24148000000000003,-0.65067,0.6383,0.37816,-0.90254,-0.42457,0.006795699999999999,-0.0035391999999999997,-0.38539,-0.13497,-0.26438,-0.091551,0.45779,0.20661,0.31355,-0.29930999999999996,-0.20429,0.091683,-0.1402,0.51077,0.10712,0.49198000000000003,-0.5616,0.054185000000000004,0.58032,-0.16596,-0.38643,-0.097051,0.58707,0.14964,0.27113000000000004,-0.12814,-0.034048,0.092901,0.23331,-0.27931999999999996,-0.4001,-0.0034193000000000006,-0.3925,0.049183,-0.4358,-0.06438200000000001,0.37906,-0.05463200000000001,-0.67676,0.35143,0.6523800000000001,0.21358000000000002,0.35812,0.15220999999999998,-0.25111999999999995,-0.13765,0.09199,-0.0013460999999999998,-6.0206,0.22601999999999997,-0.2528,-0.19129000000000002,0.31382,0.44606999999999997,0.3663,0.075894,0.093947,-0.15955999999999998,0.39989,0.63161,0.29423,-0.77584,-0.23667,-0.20197,0.017155,-0.38523,0.66689,0.08970399999999999,-0.31599,0.50257,0.51956,0.069124,0.17670999999999998,-0.057517,0.7592899999999999,0.033151,-0.26773,0.14787999999999998,0.12935,0.2002,0.39305999999999996,0.18141,0.09387999999999999,-0.37701,0.074141,0.25046,0.12650999999999998,0.46811,0.49654,-0.18688,0.57106,-0.40908,-0.040246,-0.44821000000000005,0.31604,-0.49365
the,0.4935,0.35698,0.66068,-0.032975,0.24989,0.25936,-0.027169,0.06840299999999999,-0.29063,-0.45705,-0.07794,0.32516,-1.4852,-0.067472,-0.17033,-0.0092964,0.34628000000000003,-0.011575,0.037965,0.45616999999999996,0.080486,0.1531,-0.15309,-0.1881,-0.18195,0.87245,0.39792,0.40995,0.44982,-0.0019651,-0.041124,-0.047867,-0.24045,-0.086883,0.014180000000000002,-0.2376,0.25183,0.28551,0.44504,-0.49643999999999994,-0.12709,-0.17476,0.082196,0.045409,0.5172,0.034546,-0.08582200000000001,-0.34924,0.52215,-0.3951,0.064123,-0.4202,-0.15943,0.18283,-0.057885,-0.019181999999999998,-0.44547,0.31542,-0.16096,-0.092139,-0.2496,-0.0013897,-0.42643000000000003,-0.17932,0.08165399999999999,0.18324000000000001,-0.32065,-0.00012009,-0.13095,-0.29812,-0.0025144000000000004,-0.11317999999999999,-0.46378,-0.1996,0.851,-0.068009,0.1287,-0.67256,-0.012225,0.14201,0.9247799999999999,0.085156,0.26888,0.3039,-0.1403,0.18599000000000002,-0.25526,0.18381,-0.35222,-0.078399,-0.26944,-0.18083,-0.027305,-0.39332,0.24541999999999997,-0.11199,0.12093,-0.46106,0.0037773000000000004,0.23799,-0.19402,0.15473,-0.00099502,0.09225599999999999,0.3985,-0.38061999999999996,-0.36498,0.0049292,-0.073963,0.14034000000000002,-0.23085,0.13001,0.30408,0.1059,0.07889600000000001,0.086252,0.058663,0.17926,-0.151,0.9524,0.37305,0.022537,0.032819,-0.49961000000000005,0.16748,0.3039,0.33058000000000004,-0.47308,0.56388,0.57122,0.055669,-0.29073000000000004,-0.17465999999999998,-0.13091,0.15409,-0.2146,0.31676,0.20931,0.011918999999999999,-0.34405,0.1199,0.39104,-0.41181,0.2084,0.19732,0.40073000000000003,0.41617,0.072766,-0.33984000000000003,0.20382,0.086184,0.28313,-6.7626,-0.5683199999999999,0.14953,-0.24673,0.60453,0.12149000000000001,-0.52715,0.13591,0.15675999999999998,0.05896799999999999,-0.32974000000000003,0.021303,0.001275,0.24996,-0.024638,0.25518,0.38581,-0.24223000000000003,-0.18270999999999998,0.2961,0.21855,0.19233,0.15229,-0.013649000000000001,-0.050622,-0.096446,0.015646,0.51167,0.14723,-0.081492,-0.31069,-0.11167,-0.13433,0.3667,-0.29659,-0.49951999999999996,-0.060474,0.0046954,-0.16617,-0.17018,0.11233,0.1604,-0.17142000000000002,-0.15621,-0.11366,0.17706,-0.53695,-0.29699000000000003
you,0.1964,0.6715300000000001,0.0062976,0.25359,-0.42096999999999996,0.3849,1.0378,-0.18536,-0.05424400000000001,-0.10855999999999999,0.12145999999999998,0.047692,-0.9322799999999999,-0.27192,-0.3506,0.11069000000000001,-0.055099,-0.079658,0.011767,0.14395,-0.025917000000000003,-0.18253,0.025691000000000002,0.19619,0.10334000000000002,1.0731,0.41991999999999996,0.17082999999999998,0.91596,-0.43398000000000003,0.16464,0.012715,0.09547699999999999,0.1449,-0.29652,-0.10642,0.098389,0.17937,0.23289,-0.22209,0.08777,-0.18005,0.38678,-0.032059,0.1202,-0.41741000000000006,0.26827,-0.19769,0.021976,-0.23585,0.14789000000000002,0.10173,-0.1038,-0.31954,0.63308,-0.051142,-0.053209000000000006,0.29378000000000004,-0.054395000000000006,4.3346e-05,0.25585,-0.18048,-0.2703,0.0077783,0.63585,0.14869000000000002,-0.10854000000000001,-0.24725999999999998,-0.10869000000000001,-0.24147,0.28059,0.13645,-0.03561,-0.68258,0.11957000000000001,0.011085,-0.013771,-0.17603,-0.57826,-0.041571,-0.12342,0.58091,-0.044446,0.14833,-0.081576,-0.15804,-0.43868,-0.090296,-0.27891,-0.032887,0.11688,0.054837000000000004,0.10082,0.24519000000000002,0.15062,0.038064,-0.25851,-0.23446,0.064198,0.12255,-0.52537,0.3335,-0.23323000000000002,-0.2578,0.29035,0.13483,0.065876,0.38322,0.11237,-0.0023038,-0.28184000000000003,0.17724,0.5675899999999999,0.24386,-0.040227,-0.045024,-0.34185,-0.41455,-0.04111,0.22438000000000002,-0.11625999999999999,0.20744,-0.11859000000000001,-0.077585,0.33058000000000004,-0.28058,0.049033999999999994,-0.19482,0.06728300000000001,0.03007,0.069742,-0.13860999999999998,0.62041,0.38005,-0.050533,0.09737799999999999,0.27874,-0.17388,0.37021,-0.66593,0.14769000000000002,-0.06314199999999999,-0.12092,0.37639,-0.20315999999999998,0.36495,0.25422,0.16774,0.050256,0.054626999999999995,0.10653,-0.070859,-6.7986,0.40560999999999997,-0.38071,0.32075,-0.33545,-0.015599000000000002,-0.46192,0.2986,0.51756,-0.17135999999999998,-0.83454,-0.14495999999999998,-0.36553,-0.18636,0.10103,0.36616,0.1311,0.51864,-0.41521,-0.1965,-0.006874,-0.014722,-0.33198,0.13165,0.29491999999999996,-0.19796,-0.28374,-0.14532,0.19547,0.11137999999999999,0.12032000000000001,0.21849000000000002,0.47585,-0.78959,0.3075,0.010715,-0.21145999999999998,-0.020619,-0.11517999999999999,0.5536300000000001,-0.185,-0.19652999999999998,0.10565999999999999,-0.26214,0.20397,-0.30815,-0.12312000000000001,0.048926
to,0.61774,0.21045999999999998,0.52698,0.20467,0.257,-0.21731999999999999,0.61374,-0.010005,0.30721,-0.10223,0.27075,-0.3691,-1.4433,-0.11167,-0.011774,-0.6150899999999999,-0.047574,0.29608,-0.5399,-0.66852,-0.10916,-0.17703,-0.45428999999999997,0.17385,0.29253,0.16115,0.19399,0.44625,0.87495,-0.09246499999999999,0.013727000000000001,-0.1858,-0.33876,-0.4523,-0.43748000000000004,0.010453,0.40842,0.13613,-0.78784,0.099471,0.088163,0.66798,0.34415,-0.39526999999999995,0.23724,0.15362,-0.49449,-0.056937,-0.1427,-0.069449,-0.30868,-0.07623300000000001,0.20988,0.078556,-0.56155,0.1809,-0.51773,0.46357,0.30987,-0.019069,0.67242,0.39125,-0.14125,0.011573,0.12692,0.08841399999999999,-0.30354000000000003,0.32022,-0.75043,0.64759,0.40745,-0.32315,0.1308,0.11402999999999999,0.22155999999999998,0.13545,0.30976,-0.35065999999999997,0.26475,-0.18838,0.20806,0.24031999999999998,0.43735,0.34629,0.21611,0.35570999999999997,-0.023089,0.34014,-0.0097253,-0.38114000000000003,0.072125,0.031611,0.37476,0.18813,0.6786300000000001,-0.39233,-0.075472,-0.13099,-0.38893,0.01188,0.41336999999999996,-0.10998,0.30033000000000004,-0.046343999999999996,0.22430999999999998,-0.63357,0.4211,0.061614999999999996,-0.087939,-0.10440999999999999,-0.14026,0.066755,0.47358,0.16719,0.10758,-0.22153,0.048319,0.42273999999999995,0.23313000000000003,0.36964,0.33876,0.41347,-0.11237,0.15725,0.73065,-0.0049247,0.27203,0.30763,0.4704,0.26032,-0.095454,-0.76075,0.53049,0.090797,-0.4706,-0.2985,0.2864,0.57581,0.058647000000000005,-0.8291,0.15575999999999998,0.022733,-0.045719,0.70358,0.34692,0.060275,0.18755,0.83105,0.065844,0.28286999999999995,0.5273800000000001,0.26252,-6.6675,0.6462100000000001,0.0075547,0.78997,-0.5294300000000001,-0.24545999999999998,0.6391600000000001,0.25545,-0.0292,0.19652,0.041214999999999995,0.15697,-0.41102,-0.24685,0.19674,-0.015722,-0.064124,-0.26484,-0.13809000000000002,0.17365999999999998,0.027951,-0.037426,-0.18403,-0.29065,0.070043,-0.3512,0.26538,-0.032504000000000005,0.2406,0.79199,-0.12442,0.035116,-0.413,0.086633,0.40075,0.0087781,0.29536,0.28309,0.1547,-0.18914,0.20568000000000003,-0.18938,0.033298,0.022822,0.33207,-0.011269,-0.52165,0.093783
me,0.43249,0.20711999999999997,0.025209,-0.34764,-0.12378,0.38708000000000004,0.34036,0.26750999999999997,0.28146,-0.7359399999999999,0.14706,-0.18731,-0.26153000000000004,-0.3155,-0.12383,-0.36069,-0.45851000000000003,0.20375,-0.12857000000000002,0.15682000000000001,0.48246000000000006,0.1532,0.34228000000000003,0.20119,0.060353,-2.2986,0.18441,0.039956,0.092102,0.21066999999999997,-0.28653,0.032233,-0.015641,0.19779000000000002,-0.9238299999999999,0.24144000000000002,0.13394,-0.37819,-0.19981,0.10724000000000002,-0.5453,0.13458,0.069629,-0.52659,0.6873,-0.39534,0.19915,0.016586,0.34376,0.39721,0.12018,0.17831,0.19155999999999998,-0.16315,0.034866,-0.57168,-0.24449,0.5259199999999999,0.27688,-0.13460999999999998,0.38613000000000003,-0.85495,0.22794,-0.31425,1.5339,0.37696,-0.08318400000000001,-0.25739,-0.43951,0.6438699999999999,-0.14676,0.7367,-0.0069994,0.45757,-0.29503,0.67252,-0.27304,-0.5170600000000001,-0.61998,-0.05740700000000001,-0.63553,0.63184,-0.63345,-0.1124,0.004577899999999999,0.41741000000000006,0.17505,-0.40148,0.43301999999999996,-0.43372,0.6806399999999999,0.3154,0.12165,-0.023594999999999998,-0.27981999999999996,0.087882,-0.28276,-0.49682,0.11556,0.56794,-0.24151999999999998,-0.37842,0.15933,0.054568,0.044315,-0.12549000000000002,0.12195,0.015969999999999998,-0.084395,0.25935,-0.12764,-0.58109,-0.070357,-0.060525,-0.0070843,0.066483,-0.24934,-0.51864,-0.29244000000000003,-0.014159999999999999,0.11014000000000002,0.31535,-0.39395,-0.28834,0.27166999999999997,-0.21369000000000002,0.32656,-0.048464,0.87039,-0.061385,0.056489,0.18394000000000002,-0.12094,0.064435,0.7791399999999999,0.18398,0.062359000000000005,-0.0052767,-0.028876,0.11372,0.43265,0.021501,0.04344,0.1263,-0.097196,0.1528,-0.33754,-0.43605,-0.49315,-0.28753,0.24725999999999998,-0.080292,-6.0692,0.44275,-0.30851,0.62038,-0.8403799999999999,0.16182,0.17490999999999998,0.42605,0.2834,-0.73124,0.030355,-0.52564,0.039198000000000004,-0.9548200000000001,-0.18708,0.25324,-0.8294600000000001,-0.12374,0.27981999999999996,0.45393999999999995,-0.57211,-0.17727,-0.33351,-1.1257,0.45161,0.44728,-0.55348,0.018456999999999998,-0.39633,-0.18142,0.097307,-0.0029748,-0.28649,-0.2928,-0.25925,0.49405,0.25774,0.14355,-0.41553999999999996,0.33821,0.025091,-0.027281,1.0286,0.021848,0.53486,-0.14139000000000002,0.14797000000000002,0.0287
de,-0.18467,-0.15205,-0.24199,0.16407,0.79747,0.18756,-1.1657,0.014112999999999999,-0.5248,0.52642,0.57065,0.29369,0.62245,0.8408700000000001,-0.25737,0.35436,0.13109,0.14432999999999999,-0.71391,0.40279,-0.62017,-0.057548,-0.52686,-0.5085,0.80442,-4.6153,0.25159000000000004,0.17526,-0.26461999999999997,-0.25499,0.3959,0.010013,-0.17984,-0.64286,0.039417,0.21963000000000002,-0.33514,-0.1656,-0.84815,0.49854,-1.4048,-0.31361999999999995,-0.27778,0.30508,-0.13225,-0.4242,-0.11930999999999999,0.47511000000000003,0.29093,-0.11387,0.53181,0.27631,0.073525,0.30567,-0.24791,-0.37963,0.09908099999999999,-0.21625,-0.26595,0.13410999999999998,-0.50857,0.046053,0.065375,-0.36327,0.21465,0.7794,0.43816000000000005,0.93175,0.14254,0.083432,-0.71438,-0.83488,-0.41948,0.31239,-1.1913,-0.26371999999999995,0.0069018000000000005,0.14143,0.23501999999999998,0.20344,-0.8454799999999999,-0.32204,0.09900700000000001,0.43687,-0.21306,-0.11268,0.13426,-0.49788999999999994,0.48946000000000006,0.14923,-0.85045,-0.11337,0.25505,0.23206,-0.37066,0.28631,0.297,-0.031192,0.051082,0.27224,0.25397,-0.13532,0.44083999999999995,-0.36883,-0.26543,0.11445999999999999,-0.5513,-0.36268,-0.56395,0.2511,0.7692,-0.35829,-0.10722999999999999,-0.8993,0.25092,0.23081,-0.25784,0.20016,-0.63693,0.84319,0.45774,0.45945,1.1283,0.44476000000000004,0.071633,-0.1688,0.056477,-0.5372899999999999,0.65463,0.79467,-0.9863200000000001,-0.2109,-0.088925,0.7923100000000001,-0.28159,-0.13255999999999998,0.0073862,-0.61237,0.074945,0.29368,-0.38714,-0.80972,-0.094162,-0.47939,0.2516,-0.79916,0.19155999999999998,0.12105,-0.21241,-0.14934,0.3889,-0.020403,-4.0894,0.10034,-0.42033999999999994,-0.51775,-0.13495,0.1618,-0.17192000000000002,-0.40399999999999997,-0.065467,0.42391999999999996,0.38594,-0.49162,-0.0044441,0.21866999999999998,-0.20152,0.34951,-0.090822,-0.5494399999999999,0.085013,0.37515,0.048491,-0.30874,0.8141,-0.010673,0.46763999999999994,-0.54303,-0.77579,-0.30896999999999997,-0.5203,0.25845,-0.40671,-0.31525,0.26496,-0.052515,-0.74374,0.13466,0.46462,-0.33979000000000004,0.23685,0.052965,0.31711999999999996,0.29784,0.46411,0.18466,0.8653700000000001,-0.29272,0.69117,-0.19143
que,-0.13419,-0.25690999999999997,-0.060738,0.04906,0.10873,0.37779,-0.18765,-0.035193,-0.26074,0.019462,0.49101999999999996,-0.26232,0.81481,-0.063947,0.030427,0.11915,-0.05204500000000001,0.080002,-0.3807,-0.28476,0.10817,0.30896999999999997,0.11372,-0.043196,-0.12268,-5.4993,-0.09352200000000001,0.43138999999999994,0.35791999999999996,-0.083576,0.38479,-0.1932,-0.48025,-0.32252,-0.7168899999999999,0.43133,-0.6442,-0.23418000000000003,-0.77864,-0.05363099999999999,-0.56812,-0.41558,-0.18017,0.041762,-0.49793999999999994,5.5585e-05,-0.13399,0.19167,0.62468,-0.25999,0.32907,-0.0056366,0.13764,0.67093,-0.048199,0.16627,0.063162,0.28617,-0.07702,0.039935000000000005,-0.09663,-0.19068,0.36983,0.16777,1.3558,0.55015,0.012454,0.32193,-0.5213,0.13742000000000001,0.48608999999999997,0.13308,0.32645,0.4148,-1.1611,-0.2919,0.12969,-0.066972,0.12775,0.16171,-0.54488,0.16071,0.17095,0.034916,0.061385,0.1384,-0.17181,0.28223000000000004,0.28667,-0.8955200000000001,-0.25443000000000005,0.41673999999999994,-0.14307,0.38599,0.19881,0.1417,-0.15235,-0.16806,-0.46355,0.26575,-0.19955,-0.6862,-0.31854,-0.011486,-0.10067000000000001,0.27353,-0.53808,-0.088384,0.61771,0.5451600000000001,0.19252,0.035463999999999996,0.078452,-0.1227,0.41086000000000006,-0.042720999999999995,-0.48594,0.052275999999999996,-0.20839000000000002,0.32678,-0.0052637,-0.13969,0.079549,0.54685,-0.17440999999999998,-0.10909,0.37897,0.13274,0.56571,-0.31882,-0.073443,0.59346,-0.31017,0.23179,0.32884,-0.16854,-0.78056,0.16985999999999998,-0.07285900000000001,-0.066251,-0.06350800000000001,-0.25559,-0.20165999999999998,-0.1127,0.28138,-0.051253,-0.34638,0.60428,-0.62921,0.35404,0.15980999999999998,0.0749,-3.6959,-0.023285,0.15112,0.16652999999999998,-0.071926,-0.054193,0.57572,-0.1134,-0.10178999999999999,-0.038244,0.1064,-0.082643,0.27426999999999996,-0.14493,-0.20492,-0.12655,-0.37317,-0.44881000000000004,0.19266,0.251,-0.61734,-0.23531999999999997,0.70081,-0.31845,0.28670999999999996,0.11623,-0.34834,0.05835599999999999,-0.62937,-0.23514000000000002,-0.7827,0.27888,0.27259,0.07365,-0.36612,-0.09737799999999999,-0.087728,-0.16385,-0.21064000000000002,0.09133,0.62132,-0.41153,0.63266,-0.18688,0.40502,-0.050066,-0.040163,-0.8685
and,0.026598,-0.26277,0.053020000000000005,0.49512,-0.007611700000000001,-0.07156699999999999,0.47111000000000003,0.15311,-0.30696999999999997,-0.88964,0.046077,-0.20201,-1.1551,-0.49455,-0.022883,-0.30935999999999997,-0.17878,-0.1591,0.44132,-0.14717,-0.21427,0.13269,-0.082107,0.065437,-0.45033999999999996,1.2399,0.30563,0.21194000000000002,0.29863,0.1228,-0.030907999999999998,0.19335,-0.015735,-0.086449,-0.22796999999999998,0.052354,0.19855,0.1767,0.52155,0.21252,0.42518999999999996,-0.39169,0.51349,0.21041999999999997,0.040529,-0.11760999999999999,-0.034555,0.026498,-0.15937,-0.44441,-0.44628,-0.28678000000000003,0.14722000000000002,-0.09079,-0.22971,-0.13324,-0.13136,0.025873,-0.074436,0.31751,0.2784,0.31185,-0.21994,0.13130999999999998,0.32765,0.16062,-0.24918,-0.47061000000000003,0.21811999999999998,-0.029924,0.27553,-0.14110999999999999,-0.19079000000000002,-0.23364000000000001,0.55907,0.1281,0.14482,-0.026616,-0.34189,-0.12869,0.53385,0.11399000000000001,-0.20558,0.055511000000000005,0.080749,0.20152,0.0941,-0.29531,-0.38491,-0.11044000000000001,0.14681,-0.047456,0.21800999999999998,0.26765,0.15239,-0.036019,-0.16289,-0.39409,-0.18107,0.26291,0.029587000000000002,0.52137,-0.39008000000000004,0.050660000000000004,0.3279,-0.68303,0.063493,0.27089,-0.13681,-0.50853,-0.071198,0.21036,0.059120000000000006,-0.038698,0.13305999999999998,-0.11094000000000001,-0.22525,-0.38308000000000003,0.32586,0.27914,-0.07883899999999999,-0.11124,0.16784000000000002,0.47512,0.17528,0.29706,-0.30584,-0.06261599999999999,0.32423,0.27558,-0.07269500000000001,0.11080999999999999,-0.077762,0.062303,-0.16732,0.017891999999999998,0.33297,0.08432,-0.38415,-0.41505,-0.028687999999999998,0.05105,-0.089213,0.16619,0.11825999999999999,-0.009072499999999999,-0.041214999999999995,0.46835,-0.17293,0.17643,0.11010999999999999,-0.028546,-6.7333,-0.054697,-0.20074,0.35486,0.021591,-0.20262,-0.1459,-0.072696,0.23933000000000001,0.26605999999999996,-0.12954000000000002,-0.42233999999999994,0.00084499,-0.11445999999999999,-0.19458,-0.062797,0.48418999999999995,0.55988,-0.24918,-0.097399,0.44608000000000003,-0.22368000000000002,-0.1892,-0.28692,-0.1034,0.066319,-0.39542,0.29641999999999996,0.18045,-0.1851,-0.32615,-0.27281,-0.0010279000000000002,-0.64572,-0.14076,-0.03005,-0.46568999999999994,-0.2946,-0.46288,-0.11712,0.40405,0.26078,-0.30811,-0.39226,0.51578,0.1305,-0.22232,0.26771999999999996
